url,browser,breakpoint,width,height,status,title,screenshot,violations_count,passes,incomplete,inapplicable,error
https://example.com,chromium,desktop,1920,1080,200,Example Domain,reports\https_example.com_chromium_desktop_20260401T054808Z.png,0,2,0,1,
https://example.com,chromium,tablet,768,1024,200,Example Domain,reports\https_example.com_chromium_tablet_20260401T054811Z.png,0,2,0,1,
https://example.com,chromium,mobile,375,812,200,Example Domain,reports\https_example.com_chromium_mobile_20260401T054814Z.png,0,2,0,1,
https://example.com,firefox,desktop,1920,1080,200,Example Domain,reports\https_example.com_firefox_desktop_20260401T054818Z.png,0,2,0,1,
https://example.com,firefox,tablet,768,1024,200,Example Domain,reports\https_example.com_firefox_tablet_20260401T054823Z.png,0,2,1,1,
https://example.com,firefox,mobile,375,812,200,Example Domain,reports\https_example.com_firefox_mobile_20260401T054827Z.png,0,2,0,1,
https://google.com,chromium,desktop,1920,1080,200,Google,reports\https_google.com_chromium_desktop_20260401T054831Z.png,0,1,0,2,
https://google.com,chromium,tablet,768,1024,200,Google,reports\https_google.com_chromium_tablet_20260401T054836Z.png,0,1,0,2,
https://google.com,chromium,mobile,375,812,200,Google,reports\https_google.com_chromium_mobile_20260401T054840Z.png,0,1,0,2,
https://google.com,firefox,desktop,1920,1080,200,Google,reports\https_google.com_firefox_desktop_20260401T054846Z.png,0,1,0,2,
https://google.com,firefox,tablet,768,1024,200,Google,reports\https_google.com_firefox_tablet_20260401T054856Z.png,0,1,0,2,
https://google.com,firefox,mobile,375,812,200,Google,reports\https_google.com_firefox_mobile_20260401T054904Z.png,0,1,0,2,
